CONF FIE WVL CX_IDA CY_IDA CX_DET CY_DET MAG_Y RMS_X RMS_Y
1 1 3960.000 -0.000 0.039 -12.002 -15.083 0.03324 2.58 5.49
1 2 3960.000 16.616 0.036 -11.426 -15.093 0.03324 3.44 6.25
1 3 3960.000 -16.644 0.127 -12.575 -15.079 0.03319 2.61 3.92
1 1 3970.000 -0.000 0.039 -12.003 -14.846 0.03325 2.55 5.46
1 2 3970.000 16.616 0.036 -11.426 -14.856 0.03324 3.40 6.21
1 3 3970.000 -16.644 0.127 -12.575 -14.842 0.03319 2.60 3.91
1 1 3980.000 -0.000 0.039 -12.003 -14.609 0.03325 2.51 5.42
1 2 3980.000 16.616 0.036 -11.426 -14.619 0.03325 3.36 6.17
1 3 3980.000 -16.644 0.127 -12.575 -14.604 0.03320 2.60 3.90
1 1 3990.000 -0.000 0.039 -12.003 -14.371 0.03325 2.48 5.39
1 2 3990.000 16.616 0.036 -11.426 -14.382 0.03325 3.32 6.13
1 3 3990.000 -16.644 0.127 -12.576 -14.367 0.03320 2.61 3.89
1 1 4000.000 -0.000 0.039 -12.003 -14.134 0.03325 2.45 5.36
1 2 4000.000 16.616 0.036 -11.426 -14.144 0.03325 3.28 6.09
1 3 4000.000 -16.644 0.127 -12.576 -14.130 0.03320 2.61 3.87
1 1 4010.000 -0.000 0.039 -12.003 -13.897 0.03326 2.42 5.32
1 2 4010.000 16.616 0.036 -11.426 -13.907 0.03325 3.25 6.04
1 3 4010.000 -16.644 0.127 -12.576 -13.892 0.03320 2.61 3.86
1 1 4020.000 -0.000 0.039 -12.003 -13.659 0.03326 2.39 5.29
1 2 4020.000 16.616 0.036 -11.426 -13.669 0.03326 3.21 6.00
1 3 4020.000 -16.644 0.127 -12.576 -13.655 0.03321 2.62 3.85
1 1 4030.000 -0.000 0.039 -12.003 -13.421 0.03326 2.36 5.25
1 2 4030.000 16.616 0.036 -11.426 -13.432 0.03326 3.17 5.96
1 3 4030.000 -16.644 0.127 -12.576 -13.417 0.03321 2.63 3.84
1 1 4040.000 -0.000 0.039 -12.003 -13.184 0.03326 2.34 5.22
1 2 4040.000 16.616 0.036 -11.426 -13.194 0.03326 3.14 5.92
1 3 4040.000 -16.644 0.127 -12.576 -13.179 0.03321 2.64 3.82
1 1 4050.000 -0.000 0.039 -12.003 -12.946 0.03327 2.32 5.19
1 2 4050.000 16.616 0.036 -11.426 -12.956 0.03327 3.11 5.88
1 3 4050.000 -16.644 0.127 -12.576 -12.941 0.03322 2.65 3.81
1 1 4060.000 -0.000 0.039 -12.003 -12.708 0.03327 2.30 5.15
1 2 4060.000 16.616 0.036 -11.426 -12.718 0.03327 3.08 5.84
1 3 4060.000 -16.644 0.127 -12.576 -12.703 0.03322 2.67 3.80
1 1 4070.000 -0.000 0.039 -12.003 -12.470 0.03327 2.28 5.12
1 2 4070.000 16.616 0.036 -11.426 -12.480 0.03327 3.05 5.80
1 3 4070.000 -16.644 0.127 -12.575 -12.465 0.03322 2.69 3.79
1 1 4080.000 -0.000 0.039 -12.003 -12.231 0.03328 2.27 5.09
1 2 4080.000 16.616 0.036 -11.426 -12.242 0.03327 3.02 5.76
1 3 4080.000 -16.644 0.127 -12.575 -12.227 0.03322 2.71 3.78
1 1 4090.000 -0.000 0.039 -12.002 -11.993 0.03328 2.26 5.05
1 2 4090.000 16.616 0.036 -11.426 -12.004 0.03328 3.00 5.72
1 3 4090.000 -16.644 0.127 -12.575 -11.989 0.03323 2.73 3.76
1 1 4100.000 -0.000 0.039 -12.002 -11.755 0.03328 2.25 5.02
1 2 4100.000 16.616 0.036 -11.426 -11.765 0.03328 2.97 5.68
1 3 4100.000 -16.644 0.127 -12.575 -11.751 0.03323 2.75 3.75
1 1 4110.000 -0.000 0.039 -12.002 -11.516 0.03328 2.24 4.99
1 2 4110.000 16.616 0.036 -11.426 -11.527 0.03328 2.95 5.64
1 3 4110.000 -16.644 0.127 -12.575 -11.512 0.03323 2.78 3.74
1 1 4120.000 -0.000 0.039 -12.002 -11.278 0.03329 2.24 4.96
1 2 4120.000 16.616 0.036 -11.426 -11.288 0.03328 2.94 5.61
1 3 4120.000 -16.644 0.127 -12.575 -11.274 0.03323 2.81 3.73
1 1 4130.000 -0.000 0.039 -12.002 -11.039 0.03329 2.24 4.92
1 2 4130.000 16.616 0.036 -11.426 -11.050 0.03329 2.92 5.57
1 3 4130.000 -16.644 0.127 -12.575 -11.035 0.03324 2.84 3.72
1 1 4140.000 -0.000 0.039 -12.002 -10.801 0.03329 2.24 4.89
1 2 4140.000 16.616 0.036 -11.426 -10.811 0.03329 2.91 5.53
1 3 4140.000 -16.644 0.127 -12.575 -10.797 0.03324 2.87 3.71
1 1 4150.000 -0.000 0.039 -12.002 -10.562 0.03329 2.25 4.86
1 2 4150.000 16.616 0.036 -11.426 -10.572 0.03329 2.90 5.49
1 3 4150.000 -16.644 0.127 -12.575 -10.558 0.03324 2.91 3.70
1 1 4160.000 -0.000 0.039 -12.002 -10.323 0.03330 2.26 4.83
1 2 4160.000 16.616 0.036 -11.426 -10.333 0.03329 2.89 5.46
1 3 4160.000 -16.644 0.127 -12.575 -10.319 0.03325 2.94 3.69
