lambda,norm_amp
6878.066611100608,1
6883.893609401843,1
6889.711216722095,1
6895.798208785721,1
6901.707787969749,1
6907.589304416104,1
6913.421385140578,1
6919.391309576672,1
6925.441317834881,1
6931.398695281796,1
6937.250562830262,1
6943.254128611605,1
6949.429981072794,1
6955.361600041857,1
6961.334897222899,1
6967.398623288413,1
6973.553585954102,1
6979.533938514272,1
6985.547329069756,1
6991.789317814005,1
6997.789898876235,1
7003.890952157311,1
7010.141064323503,1
7016.212317229703,1
7022.237598542474,1
7028.542049600394,1
7034.682426010929,1
7040.721950766589,1
7046.819750732974,1
7053.239424276915,1
7059.332970624251,1
7065.514884040476,1
7071.883984990149,1
7078.021705624808,1
7084.258463131974,1
7090.45344976478,1
7096.792671805709,1
7103.00964315103,1
7109.510644992422,1
7115.677168823215,1
7121.953531329926,1
7128.3706286640245,1
7134.627303689344,1
7141.060588398782,1
7147.334321089136,1
7153.6899720856245,1
7160.091546294287,1
7166.4559597835305,1
7173.033225104904,1
7179.500403060917,1
7185.821871131586,1
7192.253131510533,1
7198.815707200964,1
7205.230476495311,1
