lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3743.6823,Cs,2.0,NIST,,89,3743.6821,0.0015,0.0003,0.0002
3747.7607,Cs,2.0,NIST,,56,3747.7581,0.0014,0.0003,0.0026
3751.8023,Cs,2.0,NIST,,24,3751.80247,0.0016,0.00023,-0.0002
3759.3138,Cs,2.0,NIST,,83,3759.3136,0.0012,0.0007,0.0002
3764.166,Cs,2.0,NIST,,43,3764.1644,0.0014,0.0003,0.0016
3764.802,Cs,2.0,NIST,,1300,3764.8016,0.002,0.0003,0.0004
3766.079,Cs,2.0,NIST,,60,3766.08,0.004,0.006,-0.001
3783.5159,Cs,2.0,NIST,,33,3783.5128,0.0008,0.0003,0.0031
3785.4378,Cs,2.0,NIST,,110000,3785.43739,0.0011,0.00019,0.0004
3789.0082,Cs,2.0,NIST,,74,3789.0071,0.0015,0.002,0.0011
3789.482,Cs,2.0,NIST,,23,3789.4811,0.003,0.0017,0.001
3790.6282,Cs,2.0,NIST,,470,3790.627,0.0011,0.0003,0.0012
3799.4478,Cs,2.0,NIST,,33,3799.4489,0.0017,0.0022,-0.0011
3803.1536,Cs,2.0,NIST,,47,3803.1532,0.0014,0.0019,0.0004
3805.125,Cs,2.0,NIST,,270000,3805.12482,0.0011,0.00019,0.0002
3817.858,Cs,2.0,NIST,,31,3817.8656,0.0013,0.0006,-0.0076
3825.0439,Cs,2.0,NIST,,370,3825.0423,0.0012,0.0003,0.0016
3828.8842,Cs,2.0,NIST,,16,3828.8788,0.0015,0.0016,0.0054
3833.383,Cs,2.0,NIST,,79,3833.382,0.002,0.0007,0.001
3837.6293,Cs,2.0,NIST,,190,3837.6288,0.0013,0.0003,0.0005
3840.245,Cs,2.0,NIST,,160,3840.245,0.004,0.003,0.0
3848.9515,Cs,2.0,NIST,,37,3848.9506,0.0012,0.0008,0.0009
3850.545,Cs,2.0,NIST,,16,3850.536,0.008,0.006,0.009
3853.5212,Cs,2.0,NIST,,47,3853.5214,0.0013,0.0018,-0.0002
3861.4996,Cs,2.0,NIST,,52000,3861.49875,0.0008,0.00021,0.0008
3867.125,Cs,2.0,NIST,,120,3867.1315,0.003,0.0011,-0.007
3870.1798,Cs,2.0,NIST,,4400,3870.18037,0.0012,0.00021,-0.0006
3874.1641,Cs,2.0,NIST,,310,3874.1628,0.0012,0.0003,0.0013
3876.1486,Cs,1.0,4MOST & NIST,211.2998504638672,2100.0,3876.147,0.0008,0.005,0.002
3876.501,Cs,2.0,NIST,,800,3876.50091,0.004,0.00022,0.0
3878.252,Cs,2.0,NIST,,130,3878.252,0.003,0.005,0.0
3880.963,Cs,2.0,NIST,,26,3880.965,0.003,0.004,-0.002
3883.356,Cs,2.0,NIST,,4,3883.3641,0.002,0.0017,-0.008
3888.611413,Cs,1.0,4MOST & NIST,50.621578216552734,600.0,3888.611413,2.2e-05,2.2e-05,0.0
3896.986,Cs,2.0,NIST,,340000,3896.98641,0.001,0.0002,-0.0004
3899.631,Cs,2.0,NIST,,80,3899.63038,0.003,0.00023,0.001
3900.072,Cs,2.0,NIST,,810,3900.0718,0.003,0.00021,0.0
3904.599,Cs,2.0,NIST,,97,3904.6079,0.007,0.0023,-0.009
3906.94,Cs,2.0,NIST,,38000,3906.93949,0.0012,0.0002,0.0005
3913.3552,Cs,2.0,NIST,,490,3913.3537,0.0011,0.0003,0.0015
3915.0569,Cs,2.0,NIST,,55,3915.0572,0.0015,0.002,-0.0003
3934.987,Cs,2.0,NIST,,49,3934.9904,0.002,0.00019,-0.0034
3941.4216,Cs,2.0,NIST,,33,3941.4216,0.0012,0.0014,0.0
3944.285,Cs,2.0,NIST,,160,3944.282,0.005,0.0016,0.003
3944.4506,Cs,2.0,NIST,,16,3944.4485,0.0012,0.0011,0.0021
3956.956,Cs,2.0,NIST,,48,3956.976,0.016,0.006,-0.02
3959.5054,Cs,2.0,NIST,,420000,3959.5055,0.001,0.0003,-0.0001
3965.1964,Cs,2.0,NIST,,250000,3965.19682,0.0007,0.0002,-0.0004
3967.204,Cs,2.0,NIST,,5200,3967.2037,0.0008,0.00019,0.0003
3971.771,Cs,2.0,NIST,,40,3971.77,0.007,0.004,0.001
3974.2504,Cs,2.0,NIST,,210000,3974.25023,0.0011,0.00021,0.0002
3976.518,Cs,2.0,NIST,,55,3976.52,0.004,0.008,-0.002
3977.999,Cs,2.0,NIST,,53000,3977.99908,0.002,0.0002,-0.0001
3978.363,Cs,2.0,NIST,,1000,3978.36426,0.002,0.00024,-0.0013
3984.268,Cs,2.0,NIST,,20,3984.269,0.003,0.005,-0.001
3999.7676,Cs,2.0,NIST,,360,3999.7674,0.0017,0.0018,0.0002
4010.5873,Cs,2.0,NIST,,65,4010.5868,0.0015,0.0008,0.0005
4011.0344,Cs,2.0,NIST,,81,4011.0338,0.0013,0.0018,0.0006
4018.073,Cs,2.0,NIST,,31,4018.0701,0.003,0.0023,0.003
4030.135,Cs,2.0,NIST,,110,4030.135,0.007,0.01,0.0
4032.1219,Cs,2.0,NIST,,140,4032.1225,0.001,0.0013,-0.0006
4039.8545,Cs,2.0,NIST,,800000,4039.85602,0.0007,0.0002,-0.0015
4041.005,Cs,2.0,NIST,,1300,4041.006,0.005,0.007,-0.001
4044.3974609375,Cs,,4MOST,11.269248962402344,,,,,
4047.1924,Cs,2.0,NIST,,45000,4047.19233,0.0012,0.0002,0.0001
4047.811,Cs,2.0,NIST,,29,4047.8148,0.003,0.0012,-0.004
4053.9701,Cs,2.0,NIST,,21000,4053.96972,0.0015,0.00024,0.0004
4060.544,Cs,2.0,NIST,,38,4060.545,0.005,0.007,-0.001
4067.9597,Cs,2.0,NIST,,80000,4067.96132,0.0003,0.0002,-0.0016
4068.7811,Cs,2.0,NIST,,200000,4068.78245,0.0004,0.00022,-0.0013
4075.443,Cs,2.0,NIST,,55,4075.448,0.004,0.0003,-0.005
4078.103,Cs,2.0,NIST,,26,4078.115,0.005,0.0023,-0.012
4089.6552,Cs,2.0,NIST,,280,4089.6554,0.001,0.0004,-0.0002
4090.35,Cs,2.0,NIST,,42,4090.35,0.002,0.003,0.0
4097.893,Cs,2.0,NIST,,17,4097.8912,0.002,0.0014,0.0018
4100.3248,Cs,2.0,NIST,,330,4100.3254,0.0013,0.0017,-0.0006
4101.047,Cs,2.0,NIST,,150,4101.0471,0.0006,0.0009,-0.0001
4106.7876,Cs,2.0,NIST,,240,4106.7867,0.0006,0.0003,0.0009
4108.2374,Cs,2.0,NIST,,1800,4108.23778,0.0007,0.00021,-0.0004
4121.1827,Cs,2.0,NIST,,1900,4121.183,0.0006,0.00022,-0.0003
4132.0057,Cs,2.0,NIST,,13000,4132.00518,0.0011,0.00023,0.0005
4145.404,Cs,2.0,NIST,,73,4145.4051,0.003,0.0024,-0.001
4151.2722,Cs,2.0,NIST,,32000,4151.27283,0.0004,0.00021,-0.0006
4151.732,Cs,2.0,NIST,,2900,4151.7323,0.0009,0.0003,-0.0003
4158.68115234375,Cs,,4MOST,27.429975509643555,,,,,
4166.736,Cs,2.0,NIST,,35,4166.73332,0.002,0.00022,0.0027
4168.9959,Cs,2.0,NIST,,160,4168.9957,0.0009,0.0003,0.0002
4174.8312,Cs,2.0,NIST,,230,4174.8312,0.0015,0.0004,0.0
4176.1078,Cs,2.0,NIST,,360,4176.1056,0.0008,0.0003,0.0022
4177.832,Cs,2.0,NIST,,29,4177.8336,0.002,0.0007,-0.0016
4179.801,Cs,2.0,NIST,,120,4179.8017,0.002,0.0012,-0.0007
4184.3236,Cs,2.0,NIST,,320,4184.3237,0.0013,0.0018,-0.0001
4186.2374,Cs,2.0,NIST,,380,4186.2376,0.0013,0.0011,-0.0002
4187.355,Cs,2.0,NIST,,170,4187.3528,0.003,0.0018,0.002
4187.5462,Cs,2.0,NIST,,2500,4187.5464,0.001,0.0004,-0.0002
4190.377,Cs,2.0,NIST,,48,4190.378,0.004,0.004,-0.001
4190.83837890625,Cs,,4MOST,11.093218803405762,,,,,
4194.097,Cs,2.0,NIST,,20,4194.103,0.004,0.005,-0.006
4198.6240234375,Cs,,4MOST,11.111170768737791,,,,,
4200.72265625,Cs,,4MOST,35.60569381713867,,,,,
4201.0489,Cs,2.0,NIST,,280,4201.0494,0.0016,0.0009,-0.0005
4205.128,Cs,2.0,NIST,,250,4205.1207,0.004,0.0012,0.007
4206.42,Cs,2.0,NIST,,40,4206.42,0.004,0.003,0.0
4208.129,Cs,2.0,NIST,,200,4208.13143,0.003,0.00023,-0.002
4213.1417,Cs,2.0,NIST,,200000,4213.14209,0.0003,0.00023,-0.0004
4219.474,Cs,2.0,NIST,,1200,4219.4749,0.0007,0.0003,-0.0009
4220.5212,Cs,2.0,NIST,,720,4220.5206,0.0009,0.0007,0.0006
4221.1215,Cs,2.0,NIST,,29000,4221.12187,0.0004,0.00023,-0.0004
4228.5364,Cs,2.0,NIST,,30,4228.5283,0.002,0.0007,0.0081
4232.1981,Cs,2.0,NIST,,190000,4232.19846,0.0003,0.00024,-0.0004
4234.4105,Cs,2.0,NIST,,98000,4234.41065,0.0003,0.00022,-0.0002
4238.55,Cs,2.0,NIST,,130,4238.5537,0.004,0.0016,-0.004
4241.134,Cs,2.0,NIST,,67,4241.1345,0.004,0.0015,-0.001
4241.983,Cs,2.0,NIST,,9600,4241.97797,0.005,0.00023,0.005
4246.5565,Cs,2.0,NIST,,1200,4246.5587,0.0015,0.0006,-0.0022
4256.3674,Cs,2.0,NIST,,110,4256.3661,0.0015,0.0004,0.0013
4259.002,Cs,2.0,NIST,,1600,4259.001,0.0011,0.0003,0.001
4259.3720703125,Cs,,4MOST,11.350614547729492,,,,,
4261.3313,Cs,2.0,NIST,,370,4261.3317,0.001,0.0003,-0.0004
4264.7023,Cs,2.0,NIST,,1400000,4264.70255,0.0004,0.00024,-0.0003
4266.15185546875,Cs,,4MOST,10.046401977539062,,,,,
4267.8622,Cs,2.0,NIST,,150,4267.8623,0.0016,0.0022,-0.0001
4271.7359,Cs,2.0,4MOST & NIST,13.98905086517334,3400.0,4271.73587,0.0015,0.00022,0.0
4277.13,Cs,2.0,NIST,,1800000,4277.1303,0.0003,0.0003,-0.0003
4279.433,Cs,2.0,NIST,,630,4279.4373,0.005,0.00023,-0.004
4284.251,Cs,2.0,NIST,,1800,4284.25477,0.003,0.00023,-0.004
4287.573,Cs,2.0,NIST,,430,4287.5715,0.004,0.0011,0.002
4288.375,Cs,2.0,NIST,,510000,4288.37507,0.0003,0.00023,-0.0001
4292.0017,Cs,2.0,NIST,,7200,4292.00145,0.0004,0.00025,0.0002
4293.0641,Cs,2.0,NIST,,830,4293.0668,0.0015,0.0011,-0.0027
4299.75,Cs,,4MOST,11.929244995117188,,,,,
4300.6527,Cs,2.0,NIST,,190000,4300.653,0.0003,0.0003,-0.0003
4306.474,Cs,2.0,NIST,,2200,4306.4735,0.0011,0.0003,0.0005
4307.961,Cs,2.0,NIST,,3500,4307.95879,0.003,0.00025,0.002
4312.8624,Cs,2.0,NIST,,110,4312.8622,0.0016,0.0017,0.0002
4313.541,Cs,2.0,NIST,,69,4313.5391,0.004,0.0008,0.002
4320.3991,Cs,2.0,NIST,,320,4320.3998,0.0012,0.0009,-0.0007
4323.4689,Cs,2.0,NIST,,620,4323.4698,0.0013,0.0017,-0.0009
4325.42,Cs,2.0,NIST,,110,4325.4181,0.003,0.0011,0.002
4327.565,Cs,2.0,NIST,,380,4327.56259,0.003,0.00021,0.002
4330.2533,Cs,2.0,NIST,,43000,4330.25331,0.0003,0.00024,0.0
4333.46240234375,Cs,,4MOST,11.07090663909912,,,,,
4348.596,Cs,2.0,NIST,,120,4348.59405,0.002,0.00024,0.002
4350.0101,Cs,2.0,NIST,,150,4350.0091,0.0015,0.001,0.001
4360.966,Cs,2.0,NIST,,35,4360.9627,0.005,0.0008,0.003
4363.2986,Cs,2.0,NIST,,760000,4363.29875,0.0003,0.00024,-0.0002
4373.0354,Cs,2.0,NIST,,370000,4373.0356,0.0003,0.0003,-0.0002
4380.094,Cs,2.0,NIST,,92,4380.0953,0.003,0.0004,-0.001
4384.4424,Cs,2.0,NIST,,96000,4384.44256,0.0003,0.00023,-0.0002
4384.655,Cs,2.0,NIST,,1800,4384.6631,0.0014,0.0008,-0.0081
4387.214,Cs,2.0,NIST,,90,4387.2149,0.003,0.0023,-0.001
4388.779,Cs,2.0,NIST,,4900,4388.78362,0.004,0.00023,-0.005
4395.077,Cs,2.0,NIST,,76,4395.0794,0.003,0.0012,-0.002
4395.998,Cs,2.0,NIST,,120,4395.9968,0.003,0.001,0.001
4396.9138,Cs,2.0,NIST,,10000,4396.91327,0.0004,0.00025,0.0005
4397.7734,Cs,2.0,NIST,,460,4397.7727,0.0014,0.0008,0.0007
4399.4969,Cs,2.0,NIST,,33000,4399.4966,0.0003,0.0003,0.0003
4405.2555,Cs,2.0,NIST,,390000,4405.25568,0.0003,0.00025,-0.0002
4415.1947,Cs,2.0,NIST,,91,4415.1958,0.0017,0.002,-0.0011
4424.0557,Cs,2.0,NIST,,19000,4424.0553,0.0003,0.0004,0.0004
4435.7001,Cs,2.0,NIST,,53000,4435.6999,0.0003,0.0003,0.0002
