lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3488.399,Hg,2.0,NIST,,150,,0.004,,
3493.859,Hg,2.0,NIST,,8000h,3493.86,0.004,0.003,-0.001
3502.0,Hg,1.0,NIST,,,3501.991,0.03,0.025,0.01
3509.758,Hg,2.0,NIST,,100h,3509.756,0.004,0.0024,0.002
3510.625,Hg,2.0,NIST,,800h,3510.6214,0.004,0.0019,0.004
3515.164,Hg,2.0,NIST,,200h,3515.1596,0.004,0.0019,0.004
3515.164,Hg,2.0,NIST,,200h,3515.16,0.004,0.002,0.004
3523.02,Hg,1.0,NIST,,,3523.009,0.03,0.021,0.01
3524.27,Hg,1.0,NIST,,,3524.213,0.03,0.021,0.06
3532.594,Hg,2.0,NIST,,100000,3532.599,0.004,0.004,-0.005
3541.352,Hg,2.0,NIST,,100h,3541.3494,0.004,0.0024,0.003
3543.46,Hg,1.0,NIST,,60,3543.352,0.04,0.02,0.11
3549.411,Hg,2.0,NIST,,30000,3549.4074,0.004,0.0013,0.004
3558.73,Hg,1.0,NIST,,,3558.73,0.03,0.023,0.0
3562.385,Hg,2.0,NIST,,100,,0.004,,
3591.01,Hg,1.0,NIST,,,3590.992,0.03,0.018,0.02
3591.48,Hg,1.0,NIST,,1,3591.53,0.2,0.03,-0.05
3592.74,Hg,1.0,NIST,,,3592.748,0.03,0.019,-0.01
3602.931,Hg,2.0,NIST,,600c,3602.9286,0.004,0.0021,0.002
3603.908,Hg,2.0,NIST,,1500,3603.903,0.004,0.004,0.005
3604.085,Hg,2.0,NIST,,45000c,3604.0843,0.004,0.0021,0.001
3605.762,Hg,2.0,NIST,,100000,3605.762,0.002,0.003,0.0
3606.885,Hg,2.0,NIST,,8000,3606.8855,0.004,0.001,-0.001
3614.875,Hg,2.0,NIST,,450,3614.876,0.004,0.0012,-0.001
3632.363,Hg,2.0,NIST,,8000,3632.3594,0.004,0.0023,0.004
3643.293,Hg,2.0,NIST,,100h,3643.296,0.004,0.002,-0.003
3643.293,Hg,2.0,NIST,,100h,3643.3005,0.004,0.002,-0.008
3650.158,Hg,1.0,NIST,,9000,3650.1579,0.001,0.0009,0.0001
3654.842,Hg,1.0,NIST,,3000,3654.8429,0.001,0.0007,-0.0009
3662.887,Hg,1.0,NIST,,500,3662.8869,0.001,0.0008,0.0001
3663.284,Hg,1.0,NIST,,2000,3663.2831,0.001,0.0007,0.0009
3683.07275390625,Hg,,4MOST,32.567081451416016,,,,,
3689.921875,Hg,,4MOST,10.610716819763184,,,,,
3701.442,Hg,1.0,NIST,,50,3701.448,0.02,0.016,-0.006
3701.748291015625,Hg,,4MOST,10.80369758605957,,,,,
3702.36,Hg,1.0,NIST,,1,3702.338,0.1,0.007,0.02
3704.1655,Hg,1.0,NIST,,9,3704.1655,0.001,0.001,0.0
3704.56689453125,Hg,,4MOST,10.556877136230469,,,,,
3751.759,Hg,2.0,NIST,,100h,,0.004,,
3776.141,Hg,2.0,NIST,,6000h,3776.1416,0.003,0.0024,-0.001
3777.755,Hg,2.0,NIST,,900,3777.757,0.003,0.003,-0.002
