lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
4152.74,Xe,2.0,NIST,,1,4152.836+,,,-0.1
4154.65,Xe,2.0,NIST,,2,4154.635+,,,0.02
4156.17,Xe,2.0,NIST,,2h,4156.160+,,,0.01
4158.04,Xe,2.0,NIST,,200H,4158.056+,,,-0.02
4162.16,Xe,2.0,NIST,,60,4162.147+,,,0.01
4170.99,Xe,2.0,NIST,,8Hl,4170.974+,,,0.02
4175.17,Xe,1.0,NIST,,6,4175.10+,0.2,,0.07
4180.1,Xe,2.0,NIST,,1000*,4179.994+,,,0.11
4180.1,Xe,2.0,NIST,,1000*,4180.097+,,,0.0
4180.29,Xe,2.0,NIST,,1,4180.401+,,,-0.11
4193.01,Xe,1.0,NIST,,20,4193.0087+,0.01,,0.001
4193.15,Xe,2.0,4MOST & NIST,50.52307891845703,500h,4193.147+,,,0.0
4193.528,Xe,1.0,NIST,,150,4193.5296+,0.002,,-0.002
4197.81,Xe,2.0,NIST,,10H,4197.795+,,,0.01
4201.25,Xe,2.0,NIST,,15H,4201.249+,,,0.0
4203.22,Xe,2.0,NIST,,5,4203.201+,,,0.02
4203.695,Xe,1.0,4MOST & NIST,15.308798789978027,,4203.695+,0.002,,0.0
4205.404,Xe,1.0,NIST,,10,4205.404+,0.002,,0.0
4208.48,Xe,2.0,NIST,,400h,4208.46+,,,0.02
4209.47,Xe,2.0,NIST,,200h,4209.44+,,,0.03
4213.72,Xe,2.0,NIST,,400h,4213.72+,,,0.0
4214.69,Xe,2.0,NIST,,6,4214.70+,,,-0.01
4215.3,Xe,2.0,NIST,,0,4215.20+,,,0.1
4215.6,Xe,2.0,NIST,,200,4215.62+,,,-0.02
4223.0,Xe,2.0,NIST,,400h,4222.99+,,,0.01
4235.03,Xe,1.0,NIST,,15,4235.12+,0.2,,-0.09
4237.2,Xe,2.0,NIST,,,4237.19+,,,0.01
4237.96,Xe,2.0,NIST,,3bl,4238.12+,,,-0.16
4238.25,Xe,2.0,NIST,,500h,4238.21+,,,0.04
4243.88,Xe,2.0,NIST,,10,4243.88+,,,0.0
4244.41,Xe,2.0,NIST,,30,4244.39+,,,0.02
4245.38,Xe,2.0,NIST,,500h,4245.37+,,,0.01
4250.16,Xe,2.0,NIST,,,4250.19+,,,-0.03
4251.57,Xe,2.0,NIST,,100H,4251.57+,,,0.0
4263.57,Xe,2.0,NIST,,10h^,4263.62+,,,-0.05
4269.84,Xe,2.0,NIST,,40,4269.82+,,,0.02
4279.16,Xe,1.0,NIST,,2*,4279.13+,0.2,,0.03
4279.16,Xe,1.0,NIST,,2*,4279.13+,0.2,,0.03
4295.17,Xe,2.0,NIST,,1a,4295.26+,,,-0.09
4296.4,Xe,2.0,NIST,,500h,4296.39+,,,0.01
4296.75,Xe,2.0,NIST,,2,4296.70+,,,0.05
4306.21,Xe,2.0,NIST,,1h,4306.21+,,,0.0
4310.51,Xe,2.0,NIST,,500h,4310.43+,,,0.08
4321.82,Xe,2.0,NIST,,40,4321.81+,,,0.01
4330.52,Xe,2.0,NIST,,1000,4330.52+,,,0.0
4335.81,Xe,2.0,NIST,,10,4335.81+,,,0.0
4337.07,Xe,2.0,NIST,,30Hl,4337.00+,,,0.07
4342.56,Xe,2.0,NIST,,6Hl,4342.62+,,,-0.06
4354.59,Xe,1.0,NIST,,6,4354.60+,0.2,,-0.01
4357.28,Xe,2.0,NIST,,0,4357.10+,,,0.18
4367.05,Xe,2.0,NIST,,30H,4367.03+,,,0.02
4369.2,Xe,2.0,NIST,,200H,4369.17+,,,0.03
4372.287,Xe,1.0,NIST,,20,4372.288+,0.002,,-0.001
4372.46,Xe,2.0,NIST,,2h,4372.42+,,,0.04
4373.78,Xe,2.0,NIST,,100H,4373.73+,,,0.05
4379.44,Xe,2.0,NIST,,10Hl,4379.39+,,,0.05
4383.908,Xe,1.0,4MOST & NIST,24.974721908569336,100,4383.909+,0.002,,-0.001
4384.93,Xe,2.0,NIST,,60,4384.91+,,,0.02
4385.768,Xe,1.0,NIST,,70,4385.768+,0.002,,0.0
4392.09,Xe,2.0,NIST,,0,4392.20+,,,-0.11
4393.2,Xe,2.0,NIST,,500H,4393.20+,,,0.0
4395.77,Xe,2.0,NIST,,500H,4395.77+,,,0.0
4404.54,Xe,2.0,NIST,,1,4404.55+,,,-0.01
