lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
6200.33598018253,He,,4MOST,20.33087539672852,,,,,
6208.454250057035,He,,4MOST,19.79942321777344,,,,,
6230.018299895088,He,,4MOST,19.49400520324707,,,,,
6246.340270072488,He,,4MOST,20.439138412475582,,,,,
6261.808887279696,He,,4MOST,23.75173759460449,,,,,
6272.797468613511,He,,4MOST,23.49460220336914,,,,,
6277.870134443909,He,,4MOST,23.001264572143555,,,,,
6303.304839446744,He,,4MOST,25.65705680847168,,,,,
6322.603075954194,He,,4MOST,24.50217628479004,,,,,
6330.853303798562,He,,4MOST,25.005529403686523,,,,,
6337.540146039682,He,,4MOST,23.86450958251953,,,,,
6341.377188964017,He,,4MOST,25.248065948486328,,,,,
6344.341617776792,He,,4MOST,26.308958053588867,,,,,
6351.401162736071,He,,4MOST,25.17811393737793,,,,,
6355.192594835809,He,,4MOST,25.211435317993164,,,,,
6364.73007877554,He,,4MOST,24.355918884277344,,,,,
6385.384808341966,He,,4MOST,26.164485931396484,,,,,
6400.072128838009,He,,4MOST,27.04446792602539,,,,,
6423.087797724274,He,,4MOST,27.25847244262696,,,,,
6435.98597192885,He,,4MOST,27.387136459350582,,,,,
6450.982462321175,He,,4MOST,26.300439834594727,,,,,
6465.195359210986,He,,4MOST,26.257080078125,,,,,
6470.691384112551,He,,4MOST,27.42563819885254,,,,,
6496.7568013352775,He,,4MOST,37.19459915161133,,,,,
6520.50015610298,He,,4MOST,27.73440170288086,,,,,
6526.934267698863,He,,4MOST,27.318309783935547,,,,,
6534.249781512711,He,,4MOST,27.323007583618164,,,,,
6539.245892526275,He,,4MOST,27.2663803100586,,,,,
6559.160108813747,He,,4MOST,26.11256217956543,,,,,
6562.844375040613,He,,4MOST,40.989532470703125,,,,,
6574.749813480783,He,,4MOST,26.807315826416016,,,,,
6585.212464481321,He,,4MOST,26.80722999572754,,,,,
6590.88088645029,He,,4MOST,25.72481918334961,,,,,
6610.021275450194,He,,4MOST,25.684871673583984,,,,,
6633.256836744257,He,,4MOST,26.64689064025879,,,,,
6644.5729279649495,He,,4MOST,26.33024787902832,,,,,
6647.653896884076,He,,4MOST,25.781042098999023,,,,,
6653.355690493005,He,,4MOST,26.453838348388672,,,,,
6662.242068321159,He,,4MOST,26.499174118041992,,,,,
6678.151,He,1.0,4MOST & NIST,32927.234375,100,6678.15174,,3e-05,-0.001
6701.551229976538,He,,4MOST,28.46709251403809,,,,,
6705.861061822819,He,,4MOST,26.968563079833984,,,,,
6709.004112755416,He,,4MOST,28.059629440307617,,,,,
6712.61776758678,He,,4MOST,26.427404403686523,,,,,
6729.7126831699225,He,,4MOST,26.372943878173828,,,,,
6734.099821069015,He,,4MOST,27.061220169067383,,,,,
6738.703472161378,He,,4MOST,26.932518005371094,,,,,
6747.001351061929,He,,4MOST,25.70987319946289,,,,,
6752.764352687338,He,,4MOST,29.125167846679688,,,,,
6759.15758676733,He,,4MOST,27.37618637084961,,,,,
6769.190625724948,He,,4MOST,27.45304298400879,,,,,
6777.39445285945,He,,4MOST,26.29011344909668,,,,,
6780.4254218637225,He,,4MOST,26.936962127685547,,,,,
6794.466973841119,He,,4MOST,27.232009887695312,,,,,
6796.941690390415,He,,4MOST,27.08160400390625,,,,,
6821.030468155936,He,,4MOST,27.801443099975582,,,,,
6825.385027529344,He,,4MOST,26.80983161926269,,,,,
6829.733265463294,He,,4MOST,26.773048400878903,,,,,
6833.493755765191,He,,4MOST,27.93966484069824,,,,,
6844.76975742617,He,,4MOST,27.28581428527832,,,,,
6871.181837628028,He,,4MOST,29.18012809753418,,,,,
6886.275417557969,He,,4MOST,25.258724212646484,,,,,
6911.63384690964,He,,4MOST,24.35679054260254,,,,,
6961.658428802059,He,,4MOST,15.68527603149414,,,,,
6965.239401909296,He,,4MOST,35.5338020324707,,,,,
6972.045803399029,He,,4MOST,13.58755588531494,,,,,
6975.60423637195,He,,4MOST,13.328201293945312,,,,,
6992.833475162459,He,,4MOST,13.00678253173828,,,,,
6997.443851642588,He,,4MOST,12.323514938354492,,,,,
7025.381517236816,He,,4MOST,10.973896026611328,,,,,
7065.19,He,1.0,4MOST & NIST,1361.5135498046875,200*,7065.17716,,5e-05,0.013
7065.71,He,1.0,4MOST & NIST,1160.5904541015625,30,7065.70863,,5e-05,0.0
,He,1.0,NIST,,,3187.733181,,2e-05,
,He,2.0,NIST,,,3202.946921,,2e-05,
,He,2.0,NIST,,,3202.961177,,2e-05,
,He,2.0,NIST,,,3202.982222,,2e-05,
,He,2.0,NIST,,,3202.999646,,2e-05,
,He,2.0,NIST,,,3203.111934,,2e-05,
,He,2.0,NIST,,,3203.112204,,2e-05,
,He,2.0,NIST,,,3203.12467,,2e-05,
,He,2.0,NIST,,,3203.125027,,2e-05,
,He,2.0,NIST,,,3203.160332,,2e-05,
,He,2.0,NIST,,,3203.163143,,2e-05,
,He,2.0,NIST,,,3203.16489,,2e-05,
,He,2.0,NIST,,,3203.171302,,2e-05,
,He,2.0,NIST,,,3203.184037,,2e-05,
,He,1.0,NIST,,,3296.772939,,2e-05,
,He,1.0,NIST,,1,3354.555098,,2.1e-05,
,He,1.0,NIST,,2,3447.589034,,2.1e-05,
,He,1.0,NIST,,,3554.540654,,2.1e-05,
,He,1.0,NIST,,,3563.104237,,2.1e-05,
,He,1.0,NIST,,0,3587.39881,,2.1e-05,
,He,1.0,NIST,,,3599.304502,,2.1e-05,
,He,1.0,NIST,,,3599.314406,,2.1e-05,
,He,1.0,NIST,,,3599.442436,,2.1e-05,
,He,1.0,NIST,,2*,3634.230767,,2.1e-05,
,He,1.0,NIST,,2*,3634.231071,,2.1e-05,
,He,1.0,NIST,,2*,3634.231092,,2.1e-05,
,He,1.0,NIST,,2*,3634.240864,,2.1e-05,
,He,1.0,NIST,,2*,3634.241168,,2.1e-05,
,He,1.0,NIST,,0,3634.37139,,2.1e-05,
,He,1.0,NIST,,0,3652.123532,,2.1e-05,
,He,1.0,NIST,,0,3705.141427,,2.1e-05,
,He,1.0,NIST,,1*,3732.863477,,2.1e-05,
,He,1.0,NIST,,1*,3732.87413,,2.1e-05,
,He,1.0,NIST,,,3733.011837,,2.1e-05,
,He,1.0,NIST,,1,3819.75731,,2.1e-05,
,He,1.0,NIST,,,3838.100125,,2.1e-05,
,He,1.0,NIST,,3*,3867.472343,,2.1e-05,
,He,1.0,NIST,,3*,3867.483778,,2.1e-05,
,He,1.0,NIST,,1,3867.631595,,2.1e-05,
,He,1.0,NIST,,,3878.176858,,2.1e-05,
,He,1.0,NIST,,,3888.604644,,2.1e-05,
,He,1.0,NIST,,1,3926.544387,,2.1e-05,
,He,1.0,NIST,,1,4009.256516,,2e-05,
,He,1.0,NIST,,5,4026.356959,,2e-05,
,He,1.0,NIST,,2,4120.991564,,2.1e-05,
,He,1.0,NIST,,25,4471.683251,,2.2e-05,
,He,2.0,NIST,,,4685.37685,,2.4e-05,
,He,2.0,NIST,,,4685.407226,,2.3e-05,
,He,2.0,NIST,,,4685.524404,,2.3e-05,
,He,2.0,NIST,,,4685.568006,,2.3e-05,
,He,2.0,NIST,,,4685.70385,,2.3e-05,
,He,2.0,NIST,,,4685.70438,,2.4e-05,
,He,2.0,NIST,,,4685.75708,,2.3e-05,
,He,2.0,NIST,,,4685.757975,,2.4e-05,
,He,2.0,NIST,,,4685.804092,,2.3e-05,
,He,2.0,NIST,,,4685.83089,,2.3e-05,
,He,2.0,NIST,,,4685.884123,,2.3e-05,
,He,2.0,NIST,,,4685.905553,,2.3e-05,
,He,2.0,NIST,,,4685.917885,,2.3e-05,
,He,1.0,NIST,,4,4713.375684,,2.4e-05,
,He,1.0,NIST,,,5874.43388,,3e-05,
,He,1.0,NIST,,,5874.46026,,3e-05,
,He,1.0,NIST,,,5875.59871,,3e-05,
,He,1.0,NIST,,100,5875.96628,,3e-05,
,He,2.0,NIST,,,6559.76872,,3e-05,
,He,2.0,NIST,,,6559.79395,,3e-05,
,He,2.0,NIST,,,6559.8544,,3e-05,
,He,2.0,NIST,,,6559.88733,,3e-05,
,He,2.0,NIST,,,6560.05227,,3e-05,
,He,2.0,NIST,,,6560.05274,,3e-05,
,He,2.0,NIST,,,6560.08318,,3e-05,
,He,2.0,NIST,,,6560.08387,,3e-05,
,He,2.0,NIST,,,6560.1416,,3e-05,
,He,2.0,NIST,,,6560.14176,,3e-05,
,He,2.0,NIST,,,6560.15708,,3e-05,
,He,2.0,NIST,,,6560.15732,,3e-05,
,He,2.0,NIST,,,6560.16955,,3e-05,
,He,2.0,NIST,,,6560.17657,,3e-05,
,He,2.0,NIST,,,6560.18478,,3e-05,
,He,2.0,NIST,,,6560.1882,,3e-05,
,He,2.0,NIST,,,6560.18823,,3e-05,
,He,2.0,NIST,,,6560.19412,,3e-05,
,He,2.0,NIST,,,6560.2096,,3e-05,
,He,1.0,NIST,,,6679.67687,,3e-05,
,He,1.0,NIST,,,7160.55563,,5e-05,
,He,1.0,NIST,,,7160.55907,,5e-05,
,He,1.0,NIST,,,7160.55935,,5e-05,
