lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3101.004,Ar,2.0,NIST,,2,3101.00855,0.006,4e-05,-0.005
3102.5862,Ar,2.0,NIST,,5,3102.58606,0.0013,0.00016,0.0001
3102.668,Hg,2.0,NIST,,150,,0.004,,
3102.953,Ar,2.0,NIST,,1,3102.953,0.006,0.006,0.0
3104.3601,Ar,2.0,NIST,,17,3104.35963,0.0005,0.00019,0.0005
3108.801,Ar,2.0,NIST,,2,3108.80493,0.006,4e-05,-0.004
3109.711,Ar,2.0,NIST,,4,3109.71205,0.006,0.00015,-0.001
3109.98,Ar,2.0,NIST,,0.5,3109.97801,0.02,0.00022,0.002
3114.378,Ar,2.0,NIST,,3,3114.38155,0.006,0.00016,-0.004
3116.195,Hg,2.0,NIST,,15000,3116.1988,0.004,0.0006,-0.004
3124.268,Ar,2.0,NIST,,1,3124.27803,0.006,7e-05,-0.01
3125.674,Hg,1.0,NIST,,4000,3125.6732,0.001,0.0005,0.0008
3131.555,Hg,1.0,NIST,,3000,3131.5547,0.001,0.0006,0.0003
3131.844,Hg,1.0,NIST,,4000,3131.8443,0.001,0.0005,-0.0003
3136.4839,Ar,2.0,NIST,,7,3136.48425,0.0011,0.0002,-0.0004
3137.629,Ar,2.0,NIST,,3,3137.63261,0.006,7e-05,-0.004
3139.0174,Ar,2.0,NIST,,79,3139.01722,0.0001,4e-05,0.00018
3139.2636,Ar,2.0,NIST,,8,3139.26372,0.0009,0.00016,-0.0001
3139.679,Hg,2.0,NIST,,30,,0.004,,
3140.963,Ar,2.0,NIST,,2,3140.97313,0.006,0.0002,-0.01
3143.891,Ar,2.0,NIST,,3,3143.89502,0.006,0.0001,-0.004
3145.9,Ar,2.0,NIST,,2,3145.90397,0.006,9e-05,-0.004
3146.422,Ar,2.0,NIST,,4,3146.42615,0.006,4e-05,-0.004
3148.206,Ar,2.0,NIST,,2,3148.20599,0.002,4e-05,0.0
3150.51,Ar,2.0,NIST,,4,3150.51619,0.006,0.00011,-0.006
3152.613,Ar,2.0,NIST,,3,3152.61816,0.006,0.00015,-0.005
3153.7844,Ar,2.0,NIST,,13,3153.78461,0.0004,0.0002,-0.0002
3153.947,Ar,2.0,NIST,,0.5,3153.95951,0.006,8e-05,-0.013
3154.289,Ar,2.0,NIST,,2,3154.2995,0.006,0.00017,-0.01
3158.208,Ar,2.0,NIST,,0.5,3158.2133,0.006,0.00022,-0.005
3161.3729,Ar,2.0,NIST,,45,3161.37289,0.0002,0.0002,0.0
3161.457,Ar,2.0,NIST,,15,3161.45654,0.0004,5e-05,0.0005
3163.535,Ar,2.0,NIST,,2,3163.54059,0.006,0.0002,-0.006
3165.291,Ar,2.0,NIST,,11,3165.29107,0.0005,5e-05,-0.0001
3167.464,Ar,2.0,NIST,,3,3167.47134,0.006,6e-05,-0.007
3169.6682,Ar,2.0,NIST,,78,3169.66803,0.0001,5e-05,0.00017
3171.403,Ar,2.0,NIST,,3,3171.40735,0.006,7e-05,-0.004
3172.116,Hg,2.0,NIST,,40h,3172.1148,0.003,0.0025,0.001
3172.862,Ar,2.0,NIST,,3,3172.86133,0.004,7e-05,0.001
