element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,1,6292.649,0.002,6292.649+, 0.000,50,,,,
Xe,1,6294.45,0.01,6294.462+,-0.012,15,,,,
Xe,2,6296.39,,6296.51+,-0.12,10H^,,,,
Xe,2,6298.31,,6298.32+,-0.01,20,,,,
Xe,2,6300.86,,6300.86+,0.00,100,,,,
Xe,2,6305.01,,6304.91+,0.10,1h,,,,
Xe,2,6311.46,,6311.51+,-0.05,5Hw,,,,
Xe,1,6314.97,0.01,6314.953+,0.017,15,3.10e+05,B+,,
Xe,2,6318.03,,6318.17+,-0.14,5,,,,
Xe,1,6318.062,0.002,6318.063+,-0.001,500,,,,
Xe,1,6325.81,0.01,6325.804+,0.006,2,2.1e+04,C,,
Xe,1,6331.50,0.01,6331.449+,0.051,20,,,,
Xe,1,6333.97,0.01,6333.95+,0.02,40hl,,,,
Xe,1,6337.58,0.01,6337.57+,0.01,8hl,,,,
Xe,2,6343.96,,6343.95+,0.01,300,,,,
Xe,1,6344.98,0.01,6344.99+,-0.01,2h,,,,
Xe,2,6353.20,,6353.21+,-0.01,50Hl,,,,
Xe,1,6355.77,0.01,6355.750+,0.020,20,,,,
Xe,2,6356.35,,6356.32+,0.03,500,,,,
Xe,2,6375.28,,6375.27+,0.01,100,,,,
Xe,1,6383.24,0.13,6383.30+,-0.06,,,,,
Xe,2,6397.99,,6397.98+,0.01,60,,,,
Xe,1,6407.05,0.13,6407.0+,0.1,,,,,
Xe,1,6412.38,0.01,6412.36+,0.02,10,,,,
Xe,1,6418.41,0.01,6418.389+,0.021,30,,,,
Xe,2,6418.58,,6418.57+,0.01,20,,,,
Xe,1,,,6418.929+,,,2.3e+05,C+,,
Xe,1,6418.98,0.01,6418.996+,-0.016,30h,,,,
Xe,1,6421.33,0.13,6421.3+, 0.0,,,,,
Xe,2,6421.47,,6421.49+,-0.02,1^,,,,
Xe,2,6426.73,,6426.87+,-0.14,2H^,,,,
Xe,1,6430.155,0.002,6430.141+,0.014,20,3.00e+05,B+,,
Xe,1,6435.01,0.13,6435.12+,-0.11,,,,,
Xe,1,6438.32,0.13,6438.3+, 0.0,,,,,
Xe,1,6438.90,0.13,6439.1+,-0.2,,,,,
Xe,2,6440.18,,6440.00+,0.18,2H^,,,,
Xe,2,6442.3,,6442.47+,-0.2,1H^,,,,
Xe,1,6448.70,0.01,6448.70+, 0.00,2h*,,,,
Xe,1,6448.70,0.01,6448.70+, 0.00,2h*,,,,
Xe,1,6450.48,0.01,6450.48+,0.00,7,,,,
Xe,1,6451.79,0.01,6451.79+, 0.00,10hl,,,,
Xe,1,6458.71,0.13,6458.9+,-0.2,,,,,
Xe,2,6461.48,,6461.51+,-0.03,10H^,,,,
Xe,1,6461.50,0.01,6461.50+,0.00,3,1.20e+05,C+,,
Xe,1,6469.705,0.002,6469.705+, 0.000,300,,,,
Xe,1,6472.841,0.002,6472.843+,-0.002,150,,,,
Xe,2,6479.69,,6479.76+,-0.07,2H,,,,
Xe,1,6483.63,0.13,6483.7+,-0.1,,,,,
Xe,2,6483.97,,6483.84+,0.13,0,,,,
Xe,1,6487.765,0.002,6487.765+,0.000,120,9.40e+05,B,,
Xe,1,6497.43,0.01,6497.40+,0.03,30hl,,,,
Xe,1,6498.717,0.002,6498.717+, 0.000,100,,,,
Xe,1,6500.37,0.01,6500.437+,-0.067,15*,,,,
Xe,1,6500.37,0.01,6500.36+,0.01,15*,,,,
Xe,2,6502.47,,6502.56+,-0.09,0,,,,
Xe,1,6504.18,0.01,6504.17+,0.01,200h,,,,
Xe,1,6504.38,0.13,6504.344+,0.04,,,,,
Xe,2,6510.06,,6510.05+,0.01,0,,,,
Xe,2,6512.28,,6512.44+,-0.16,0,,,,
Xe,2,6512.83,,6512.82+,0.01,300h,,,,
Xe,2,6515.48,,6515.39+,0.09,1H*,,,,
Xe,2,6515.48,,6515.40+,0.08,1H*,,,,
Xe,1,6521.508,0.002,6521.517+,-0.009,40,,,,
Xe,2,6528.65,,6528.65+,0.00,200h,,,,
Xe,1,6533.159,0.002,6533.156+,0.003,100,1.03e+06,B+,,
Xe,1,6543.360,0.002,6543.357+,0.003,40,2.70e+05,B+,,
Xe,2,6545.58,,6545.71+,-0.13,4w,,,,
Xe,1,6546.12,0.01,6546.134+,-0.014,20,,,,
Xe,1,6552.60,0.13,6552.6+, 0.0,,,,,
Xe,1,6552.99,0.13,6553.0+, 0.0,,,,,
Xe,1,6553.66,0.01,6553.65+,0.01,4,,,,
Xe,1,6554.196,0.002,6554.185+,0.011,50hl,,,,
Xe,2,6556.70,,6556.72+,-0.02,4,,,,
Xe,1,6558.62,0.13,6558.59+,0.03,,,,,
Xe,1,6559.97,0.01,6559.954+,0.016,25,,,,
Xe,1,6560.65,0.01,6560.587+,0.063,4h,,,,
Xe,2,6563.19,,6563.21+,-0.02,15,,,,
Xe,1,6568.39,0.2,6568.6+,-0.2,30,,,,
Xe,2,6569.13,,6569.08+,0.05,5,,,,
Xe,2,6573.68,,6573.65+,0.03,30,,,,
Xe,1,6583.27,0.01,6583.245+,0.025,20,,,,
Xe,1,6590.86,0.01,6590.871+,-0.011,8,,,,
Xe,1,6593.27,0.13,6593.3+,0.0,,,,,
Xe,2,6595.01,,6595.00+,0.01,800,,,,
Xe,1,6595.561,0.002,6595.559+,0.002,100,,,,
Xe,2,6597.25,,6597.27+,-0.02,300,,,,
Xe,2,6598.84,,6598.85+,-0.01,80,,,,
Xe,1,6599.71,0.13,6599.698+,0.01,,,,,
Xe,1,6601.58,0.13,6601.6+, 0.0,,,,,
Xe,1,6602.06,0.13,6602.1+, 0.0,,,,,
Xe,1,6602.87,0.01,6602.88+,-0.01,4h*,,,,
Xe,1,6602.87,0.01,6602.85+,0.02,4h*,,,,
Xe,1,6604.46,0.13,6604.54+,-0.08,,,,,
Xe,1,6604.98,0.13,6605.00+,-0.02,,,,,
Xe,1,6607.41,0.01,6607.42+,-0.01,30h,,,,
Xe,1,6608.87,0.01,6608.885+,-0.015,10,,,,
Xe,2,6614.96,,6615.20+,-0.24,10H,,,,
Xe,2,6618.40,,6618.38+,0.02,50,,,,
Xe,2,6619.33,,6619.47+,-0.14,3,,,,
Xe,2,6620.02,,6620.01+,0.01,200h,,,,
Xe,1,6621.08,0.13,6621.1+, 0.0,,,,,
Xe,1,6630.44,0.01,6630.454+,-0.014,2,,,,
Xe,1,6632.464,0.002,6632.466+,-0.002,50,,,,
Xe,2,6634.13,,6634.16+,-0.03,6Hl,,,,
Xe,1,6636.38,0.13,6636.5+,-0.1,,,,,
Xe,2,6638.85,,6638.84+,0.01,2h,,,,
Xe,2,6642.9,,6642.56+,0.3,1h,,,,
Xe,1,6648.75,0.01,6648.727+,0.023,3,,,,
Xe,1,6654.67,0.13,6654.6+,0.0,,,,,
Xe,1,6657.92,0.01,6657.929+,-0.009,20,,,,
Xe,2,6663.1,,6663.02+,0.1,2,,,,
Xe,1,6664.85,0.01,6664.87+,-0.02,4,,,,
Xe,2,6665.59,,6665.32+,0.27,2,,,,
Xe,1,6665.67,0.13,6665.7+, 0.0,,,,,
Xe,1,6666.29,0.13,6666.3+, 0.0,,,,,
Xe,1,6666.965,0.002,6666.963+,0.002,60,1.10e+06,B+,,
Xe,1,6668.920,0.002,6668.923+,-0.003,150,,,,
Xe,1,6676.53,0.13,6676.6+, 0.0,,,,,
Xe,1,6678.972,0.002,6678.969+,0.003,25,,,,
Xe,1,6681.036,0.002,6681.032+,0.004,20,,,,
Xe,1,6684.79,0.2,6684.8+, 0.0,30*,,,,
Xe,1,6684.79,0.2,6684.8+, 0.0,30*,,,,
Xe,2,6691.22,,6691.23+,-0.01,1,,,,
Xe,2,6694.32,,6694.29+,0.03,400h,,,,
Xe,2,6702.25,,6702.24+,0.01,80,,,,
Xe,1,6703.26,0.13,6703.1+,0.1,,,,,
Xe,1,6703.62,0.13,6703.8+,-0.2,,,,,
Xe,1,6705.46,0.13,6705.52+,-0.06,,,,,
Xe,1,6706.46,0.01,6706.48+,-0.02,1,,,,
Xe,1,6708.25,0.2,6708.1+,0.2,3*,,,,
Xe,1,6708.25,0.2,6708.1+,0.2,3*,,,,
Xe,1,6708.25,0.2,6708.1+,0.2,3*,,,,
Xe,1,6712.93,0.2,6712.9+,0.0,3*,,,,
Xe,1,6712.93,0.2,6712.9+,0.0,3*,,,,
Xe,1,6712.93,0.2,6712.9+,0.0,3*,,,,
Xe,1,6719.39,0.13,6719.4+, 0.0,,,,,
Xe,1,6721.38,0.13,6721.38+, 0.00,,,,,
Xe,1,6728.008,0.002,6728.006+,0.002,200,,,,
Xe,1,6736.14,0.13,6736.1+, 0.0,,,,,
Xe,1,6736.50,0.13,6736.8+,-0.3,,,,,
Xe,2,6744.27,,6744.31+,-0.04,0,,,,
Xe,1,6751.93,0.13,6751.9+, 0.0,,,,,
Xe,1,6752.79,0.13,6752.8+, 0.0,,,,,
Xe,2,6756.83,,6756.81+,0.02,0,,,,
Xe,1,6767.12,0.01,6767.093+,0.027,10,,,,
Xe,1,6777.57,0.01,6777.559+,0.011,50,,,,
Xe,1,6778.60,0.01,6778.588+,0.012,40,,,,
Xe,2,6788.71,,6788.69+,0.02,100h,,,,
Xe,2,6790.37,,6790.36+,0.01,80h,,,,
Xe,2,6805.74,,6805.72+,0.02,1000,6.1e+06,,,
Xe,1,6808.12,0.2,6807.8+,0.3,5,,,,
Xe,1,6815.64,0.01,6815.624+,0.016,12,2.10e+05,B+,,
Xe,1,6818.38,0.01,6818.37+,0.01,15,,,,
Xe,1,6827.315,0.002,6827.313+,0.002,200,,,,
Xe,1,6840.96,0.01,6840.960+,0.000,8,,,,
Xe,1,6841.50,0.01,6841.50+, 0.00,20*,,,,
Xe,1,6841.50,0.01,6841.46+,0.04,20*,,,,
Xe,1,6844.27,0.01,6844.26+,0.01,1,,,,
Xe,1,6844.84,0.01,6844.837+,0.003,2h,,,,
Xe,1,6846.613,0.002,6846.613+, 0.000,60,,,,
Xe,1,6848.82,0.01,6848.81+,0.01,50,,,,
Xe,1,6850.13,0.01,6850.128+,0.002,30,,,,
Xe,1,6860.19,0.01,6860.162+,0.028,40,,,,
Xe,1,6863.20,0.01,6863.171+,0.029,20,,,,
Xe,1,6865.58,0.01,6865.536+,0.044,5,,,,
Xe,1,6866.838,0.002,6866.842+,-0.004,50,9.20e+05,B,,
Xe,1,6872.107,0.002,6872.105+,0.002,100,,,,
Xe,1,6882.155,0.002,6882.154+,0.001,300,5.83e+06,B,,
Xe,2,6910.22,,6910.22+, 0.00,100,,,,
Xe,1,6910.82,0.01,6910.818+,0.002,30,7.40e+05,B+,,
Xe,1,6922.22,0.01,6922.233+,-0.013,8,3.0e+04,D+,,
Xe,1,6924.67,0.01,6924.646+,0.024,15,,,,
Xe,1,6925.53,0.01,6925.518+,0.012,100,,,,
Xe,1,6935.62,0.01,6935.606+,0.014,50,,,,
Xe,1,6936.69,0.01,6936.683+,0.007,8,,,,
Xe,1,6961.10,0.2,6961.3+,-0.2,20,,,,
Xe,1,6976.182,0.002,6976.182+,0.000,100,1.91e+06,B,,
Xe,1,6982.05,0.01,6982.061+,-0.011,30,,,,
Xe,2,6990.88,,6990.88+,0.00,2000,2.7e+07,,,
Xe,1,6991.65,0.01,6991.63+,0.02,1,,,,
Xe,1,7003.10,0.01,7003.099+,0.001,4,,,,
Xe,2,7003.96,,7003.97+,-0.01,50,,,,
Xe,2,7017.06,,7017.05+,0.01,80,,,,
Xe,1,7019.02,0.01,7019.026+,-0.006,30,3.5e+05,C,,
Xe,1,7034.80,0.01,7034.75+,0.05,3,,,,
Xe,1,7035.53,0.01,7035.534+,-0.004,20,4.00e+05,B+,,
Xe,1,7047.37,0.01,7047.43+,-0.06,30*,,,,
Xe,1,7047.37,0.01,7047.366+,0.004,30*,6.40e+05,B+,,
Xe,1,7049.07,0.01,7049.13+,-0.06,1h,,,,
Xe,1,7049.36,0.01,7049.32+,0.04,1h,,,,
Xe,1,7051.06,0.01,7051.073+,-0.013,3,,,,
Xe,2,7052.57,,7052.56+,0.01,3Hw,,,,
Xe,2,7072.43,,7072.43+,0.00,4Hw,,,,
Xe,1,7072.44,0.2,7072.4+,0.0,30,,,,
Xe,2,7075.0,,7074.83+,0.2,2Hs,,,,
Xe,1,7078.46,0.01,7078.43+,0.03,1,,,,
Xe,2,7082.15,,7082.15+,0.00,200,,,,
Xe,2,7094.7,,7094.33+,0.4,1Hw,,,,
Xe,2,7100.8,,7100.57+,0.2,5h^,,,,
Xe,1,7119.598,0.002,7119.598+,0.000,500,8.39e+06,B,,
Xe,2,7133.27,,7133.28+,-0.01,10,,,,
Xe,1,7136.57,0.01,7136.561+,0.009,15,,,,
Xe,2,7147.50,,7147.42+,0.08,100H,,,,
Xe,2,7149.03,,7149.05+,-0.02,300h,,,,
Xe,2,7164.83,,7164.83+,0.00,800h,,,,
Xe,1,7172.70,0.01,7172.70+, 0.00,10,,,,
Xe,1,7192.42,0.2,7192.6+,-0.1,4,,,,
