element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,3607.41,,3607.398+,0.01,8,,,,
Xe,1,3610.32,0.01,3610.3081+,0.012,15,,,,
Xe,2,3611.52,,3611.486+,0.03,1h,,,,
Xe,2,3612.37,,3612.356+,0.01,20,,,,
Xe,1,3613.06,0.01,3613.0476+,0.012,8,,,,
Xe,2,3617.94,,3618.033+,-0.09,1,,,,
Xe,2,3621.98,,3621.918+,0.06,3h,,,,
Xe,1,3633.06,0.01,3633.0300+,0.030,6,,,,
Xe,2,3634.48,,3634.488+,-0.01,1-,,,,
Xe,2,3644.43,,3644.436+,-0.01,5,,,,
Xe,2,3644.91,,3644.895+,0.02,5,,,,
Xe,2,3645.29,,3645.33+,-0.04,3,,,,
Xe,2,3654.44,,3654.321+,0.12,3bl,,,,
Xe,2,3657.74,,3657.736+,0.00,5,,,,
Xe,2,3658.44,,3658.429+,0.01,6h,,,,
Xe,2,3661.70,,3661.678+,0.02,20H,,,,
Xe,2,3663.93,,3663.954+,-0.02,5h,,,,
Xe,2,3665.47,,3665.296+,0.17,1,,,,
Xe,1,3669.91,0.01,3669.905+,0.005,10,,,,
Xe,2,3672.57,,3672.572+, 0.00,20,,,,
Xe,2,3674.04,,3674.002+,0.04,1-,,,,
Xe,1,3677.54,0.01,3677.529+,0.011,2,,,,
Xe,1,3679.31,0.01,3679.306+,0.004,4,,,,
Xe,2,3684.07,,3684.176+,-0.11,1,,,,
Xe,1,3685.90,0.01,3685.900+, 0.000,40,4.5e+05,D,,
Xe,1,3688.80,0.01,3688.808+,-0.008,1,,,,
Xe,2,3690.74,,3690.793+,-0.05,1,,,,
Xe,2,3691.84,,3691.840+,0.00,1h,,,,
Xe,1,3693.49,0.01,3693.487+,0.003,40,3.1e+05,D+,,
Xe,1,3696.82,0.01,3696.817+,0.003,4,,,,
Xe,2,3698.49,,3698.506+,-0.02,1h,,,,
Xe,1,3702.74,0.01,3702.732+,0.008,2,,,,
Xe,2,3711.64,,3711.666+,-0.03,20H,,,,
Xe,2,3715.69,,3715.670+,0.02,2H,,,,
Xe,2,3717.20,,3717.185+,0.02,20,,,,
Xe,2,3720.80,,3720.803+, 0.00,40,,,,
Xe,2,3731.00,,3731.004+, 0.00,0bl,,,,
Xe,2,3731.18,,3731.174+,0.01,20,,,,
Xe,1,3737.81,0.2,3737.76+,0.05,5,,,,
Xe,2,3741.11,,3741.292+,-0.18,0,,,,
Xe,2,3741.96,,3742.020+,-0.06,2Hw,,,,
Xe,1,3742.22,0.01,3742.1825+,0.037,1,,,,
Xe,1,3745.38,0.01,3745.3811+,-0.001,10,,,,
Xe,2,3745.46,,3745.620+,-0.16,3a,,,,
Xe,1,3745.69,0.01,3745.6953+,-0.005,4,,,,
Xe,2,3756.87,,3756.853+,0.02,10,,,,
Xe,2,3762.05,,3762.061+,-0.01,3h,,,,
Xe,2,3763.37,,3763.362+,0.01,15,,,,
Xe,2,3765.66,,3765.664+, 0.00,0,,,,
Xe,2,3773.83,,3773.915+,-0.08,0,,,,
Xe,2,3775.49,,3775.514+,-0.02,1,,,,
Xe,2,3778.78,,3778.735+,0.05,1-,,,,
Xe,2,3780.70,,3780.697+,0.00,1H,,,,
Xe,2,3783.23,,3783.201+,0.03,10h,,,,
Xe,2,3787.32,,3787.317+,0.00,3,,,,
Xe,1,3795.95,0.01,3795.9456+,0.004,3,,,,
Xe,1,3796.30,0.01,3796.3060+,-0.006,40,1.6e+05,C,,
Xe,2,3800.99,,3800.967+,0.02,15h,,,,
Xe,1,3801.39,0.01,3801.3904+, 0.000,30,,,,
Xe,1,3801.90,0.01,3801.9071+,-0.007,3,,,,
Xe,2,3805.68,,3805.694+,-0.01,1H,,,,
Xe,2,3807.29,,3807.320+,-0.03,10h,,,,
Xe,1,3809.84,0.01,3809.844+,-0.004,30,,,,
Xe,2,3810.67,,3810.503+,0.17,0,,,,
Xe,2,3811.05,,3811.044+,0.01,40,,,,
Xe,2,3815.16,,3815.137+,0.02,1hw,,,,
Xe,2,3823.35,,3823.473+,-0.12,2,,,,
Xe,1,3823.74,0.01,3823.726+,0.014,10,,,,
Xe,2,3826.27,,3826.216+,0.05,2h,,,,
Xe,1,3826.86,0.01,3826.855+,0.005,15,,,,
Xe,2,3829.77,,3829.788+,-0.02,10h,,,,
Xe,1,3835.6,0.1,3835.475+,0.12,2,,,,
Xe,2,3848.58,,3848.580+, 0.00,6,,,,
Xe,2,3849.87,,3849.870+,0.00,50Hl,,,,
Xe,2,3858.53,,3858.530+,0.00,20,,,,
Xe,2,3869.63,,3869.617+,0.01,20,,,,
Xe,1,3877.20,0.2,3877.12+,0.08,2*,,,,
Xe,1,3877.20,0.2,3877.12+,0.08,2*,,,,
Xe,2,3883.67,,3883.772+,-0.10,1H,,,,
Xe,2,3885.00,,3885.028+,-0.03,20,,,,
Xe,2,3885.45,,3885.392+,0.06,4Hl,,,,
Xe,2,3905.34,,3905.290+,0.05,1,,,,
Xe,2,3905.85,,3905.855+, 0.00,10,,,,
Xe,2,3907.91,,3907.904+,0.01,100h,,,,
Xe,2,3916.60,,3916.546+,0.05,1h,,,,
Xe,2,3920.78,,3920.729+,0.05,1h,,,,
Xe,2,3926.80,,3926.786+,0.01,1,,,,
Xe,2,3928.42,,3928.380+,0.04,,,,,
Xe,2,3933.22,,3933.216+,0.00,1,,,,
Xe,2,3937.66,,3937.618+,0.04,2,,,,
Xe,2,3938.92,,3938.888+,0.03,15h,,,,
Xe,2,3942.21,,3942.194+,0.02,3,,,,
Xe,1,3942.29,0.01,3942.2868+,0.003,2,,,,
Xe,2,3943.57,,3943.581+,-0.01,20,,,,
Xe,1,3948.163,0.002,3948.1598+,0.003,60,,,,
Xe,1,3948.72,0.01,3948.7171+,0.003,10,,,,
Xe,1,3950.924,0.002,3950.9237+,0.000,120,5.6e+05,C+,,
Xe,2,3951.61,,3951.601+,0.01,5Hl,,,,
Xe,2,3954.73,,3954.748+,-0.02,20hl,,,,
Xe,1,3956.85,0.01,3956.8437+,0.006,6,,,,
Xe,2,3962.15,,3962.146+,0.00,0,,,,
Xe,1,3967.5411,0.0005,3967.5405+,0.0006,200,5.3e+05,C+,,
Xe,2,3972.58,,3972.615+,-0.03,50Hl,,,,
Xe,1,3974.417,0.002,3974.4158+,0.001,40,1.4e+05,D+,,
Xe,2,3975.59,,3975.600+,-0.01,4,,,,
Xe,2,3978.98,,3978.999+,-0.02,2h,,,,
Xe,2,3980.41,,3980.398+,0.01,2h,,,,
Xe,2,3981.21,,3981.165+,0.04,1h,,,,
Xe,1,3985.202,0.002,3985.2027+,-0.001,30,,,,
Xe,2,3990.33,,3990.298+,0.03,60Hl,,,,
Xe,2,3996.05,,3996.045+,0.01,3,,,,
Xe,2,4000.55,,4000.526+,0.02,5h,,,,
Xe,2,4002.35,,4002.321+,0.03,80Hl,,,,
Xe,2,4003.09,,4003.249+,-0.16,1,,,,
Xe,1,4004.55,0.2,4004.40+,0.15,10*,,,,
Xe,1,4004.55,0.2,4004.40+,0.15,10*,,,,
Xe,2,4008.46,,4008.374+,0.09,1H,,,,
Xe,2,4016.56,,4016.586+,-0.03,2h,,,,
Xe,2,4017.86,,4017.876+,-0.02,2h,,,,
