element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Cs,2,3959.5054,0.0010,3959.5055,0.0003,-0.0001,420000,,,,
Cs,2,3965.1964,0.0007,3965.19682,0.00020,-0.0004,250000,,,,
Cs,2,3967.2040,0.0008,3967.20370,0.00019,0.0003,5200,,,,
Cs,2,3971.771,0.007,3971.770,0.004,0.001,40,,,,
Cs,2,3974.2504,0.0011,3974.25023,0.00021,0.0002,210000,,,,
Cs,2,3976.518,0.004,3976.520,0.008,-0.002,55,,,,
Cs,2,3977.999,0.002,3977.99908,0.00020,-0.0001,53000,,,,
Cs,2,3978.363,0.002,3978.36426,0.00024,-0.0013,1000,,,,
Cs,2,3984.268,0.003,3984.269,0.005,-0.001,20,,,,
Cs,2,3999.7676,0.0017,3999.7674,0.0018,0.0002,360,,,,
Cs,2,4010.5873,0.0015,4010.5868,0.0008,0.0005,65,,,,
Cs,2,4011.0344,0.0013,4011.0338,0.0018,0.0006,81,,,,
Cs,2,4018.073,0.003,4018.0701,0.0023,0.003,31,,,,
Cs,2,4030.135,0.007,4030.135,0.010,0.000,110,,,,
Cs,2,4032.1219,0.0010,4032.1225,0.0013,-0.0006,140,,,,
Cs,2,4039.8545,0.0007,4039.85602,0.00020,-0.0015,800000,,,,
Cs,2,4041.005,0.005,4041.006,0.007,-0.001,1300,,,,
Cs,2,4047.1924,0.0012,4047.19233,0.00020,0.0001,45000,,,,
Cs,2,4047.811,0.003,4047.8148,0.0012,-0.004,29,,,,
Cs,2,4053.9701,0.0015,4053.96972,0.00024,0.0004,21000,,,,
Cs,2,4060.544,0.005,4060.545,0.007,-0.001,38,,,,
Cs,2,4067.9597,0.0003,4067.96132,0.00020,-0.0016,80000,,,,
Cs,2,4068.7811,0.0004,4068.78245,0.00022,-0.0013,200000,,,,
Cs,2,4075.443,0.004,4075.4480,0.0003,-0.005,55,,,,
Cs,2,4078.103,0.005,4078.1150,0.0023,-0.012,26,,,,
Cs,2,4089.6552,0.0010,4089.6554,0.0004,-0.0002,280,,,,
Cs,2,4090.350,0.002,4090.350,0.003,0.000,42,,,,
Cs,2,4097.893,0.002,4097.8912,0.0014,0.0018,17,,,,
Cs,2,4100.3248,0.0013,4100.3254,0.0017,-0.0006,330,,,,
Cs,2,4101.0470,0.0006,4101.0471,0.0009,-0.0001,150,,,,
Cs,2,4106.7876,0.0006,4106.7867,0.0003,0.0009,240,,,,
Cs,2,4108.2374,0.0007,4108.23778,0.00021,-0.0004,1800,,,,
Cs,2,4121.1827,0.0006,4121.18300,0.00022,-0.0003,1900,,,,
Cs,2,4132.0057,0.0011,4132.00518,0.00023,0.0005,13000,,,,
Cs,2,4145.404,0.003,4145.4051,0.0024,-0.001,73,,,,
Cs,2,4151.2722,0.0004,4151.27283,0.00021,-0.0006,32000,,,,
Cs,2,4151.7320,0.0009,4151.7323,0.0003,-0.0003,2900,,,,
Cs,2,4166.736,0.002,4166.73332,0.00022,0.0027,35,,,,
Cs,2,4168.9959,0.0009,4168.9957,0.0003,0.0002,160,,,,
Cs,2,4174.8312,0.0015,4174.8312,0.0004, 0.0000,230,,,,
Cs,2,4176.1078,0.0008,4176.1056,0.0003,0.0022,360,,,,
Cs,2,4177.832,0.002,4177.8336,0.0007,-0.0016,29,,,,
Cs,2,4179.801,0.002,4179.8017,0.0012,-0.0007,120,,,,
Cs,2,4184.3236,0.0013,4184.3237,0.0018,-0.0001,320,,,,
Cs,2,4186.2374,0.0013,4186.2376,0.0011,-0.0002,380,,,,
Cs,2,4187.355,0.003,4187.3528,0.0018,0.002,170,,,,
Cs,2,4187.5462,0.0010,4187.5464,0.0004,-0.0002,2500,,,,
Cs,2,4190.377,0.004,4190.378,0.004,-0.001,48,,,,
Cs,2,4194.097,0.004,4194.103,0.005,-0.006,20,,,,
Cs,2,4201.0489,0.0016,4201.0494,0.0009,-0.0005,280,,,,
Cs,2,4205.128,0.004,4205.1207,0.0012,0.007,250,,,,
Cs,2,4206.420,0.004,4206.420,0.003,0.000,40,,,,
Cs,2,4208.129,0.003,4208.13143,0.00023,-0.002,200,,,,
Cs,2,4213.1417,0.0003,4213.14209,0.00023,-0.0004,200000,,,,
Cs,2,4219.4740,0.0007,4219.4749,0.0003,-0.0009,1200,,,,
Cs,2,4220.5212,0.0009,4220.5206,0.0007,0.0006,720,,,,
Cs,2,4221.1215,0.0004,4221.12187,0.00023,-0.0004,29000,,,,
Cs,2,4228.5364,0.0020,4228.5283,0.0007,0.0081,30,,,,
Cs,2,4232.1981,0.0003,4232.19846,0.00024,-0.0004,190000,,,,
Cs,2,4234.4105,0.0003,4234.41065,0.00022,-0.0002,98000,,,,
Cs,2,4238.550,0.004,4238.5537,0.0016,-0.004,130,,,,
Cs,2,4241.134,0.004,4241.1345,0.0015,-0.001,67,,,,
Cs,2,4241.983,0.005,4241.97797,0.00023,0.005,9600,,,,
Cs,2,4246.5565,0.0015,4246.5587,0.0006,-0.0022,1200,,,,
Cs,2,4256.3674,0.0015,4256.3661,0.0004,0.0013,110,,,,
Cs,2,4259.0020,0.0011,4259.0010,0.0003,0.0010,1600,,,,
Cs,2,4261.3313,0.0010,4261.3317,0.0003,-0.0004,370,,,,
Cs,2,4264.7023,0.0004,4264.70255,0.00024,-0.0003,1400000,,,,
Cs,2,4267.8622,0.0016,4267.8623,0.0022,-0.0001,150,,,,
Cs,2,4271.7359,0.0015,4271.73587,0.00022,0.0000,3400,,,,
Cs,2,4277.1300,0.0003,4277.1303,0.0003,-0.0003,1800000,,,,
Cs,2,4279.433,0.005,4279.43730,0.00023,-0.004,630,,,,
Cs,2,4284.251,0.003,4284.25477,0.00023,-0.004,1800,,,,
Cs,2,4287.573,0.004,4287.5715,0.0011,0.002,430,,,,
Cs,2,4288.3750,0.0003,4288.37507,0.00023,-0.0001,510000,,,,
Cs,2,4292.0017,0.0004,4292.00145,0.00025,0.0002,7200,,,,
Cs,2,4293.0641,0.0015,4293.0668,0.0011,-0.0027,830,,,,
Cs,2,4300.6527,0.0003,4300.6530,0.0003,-0.0003,190000,,,,
Cs,2,4306.4740,0.0011,4306.4735,0.0003,0.0005,2200,,,,
Cs,2,4307.961,0.003,4307.95879,0.00025,0.002,3500,,,,
Cs,2,4312.8624,0.0016,4312.8622,0.0017,0.0002,110,,,,
Cs,2,4313.541,0.004,4313.5391,0.0008,0.002,69,,,,
Cs,2,4320.3991,0.0012,4320.3998,0.0009,-0.0007,320,,,,
Cs,2,4323.4689,0.0013,4323.4698,0.0017,-0.0009,620,,,,
Cs,2,4325.420,0.003,4325.4181,0.0011,0.002,110,,,,
Cs,2,4327.565,0.003,4327.56259,0.00021,0.002,380,,,,
Cs,2,4330.2533,0.0003,4330.25331,0.00024, 0.0000,43000,,,,
Cs,2,4348.596,0.002,4348.59405,0.00024,0.0020,120,,,,
Cs,2,4350.0101,0.0015,4350.0091,0.0010,0.0010,150,,,,
Cs,2,4360.966,0.005,4360.9627,0.0008,0.003,35,,,,
Cs,2,4363.2986,0.0003,4363.29875,0.00024,-0.0002,760000,,,,
Cs,2,4373.0354,0.0003,4373.0356,0.0003,-0.0002,370000,,,,
Cs,2,4380.094,0.003,4380.0953,0.0004,-0.001,92,,,,
Cs,2,4384.4424,0.0003,4384.44256,0.00023,-0.0002,96000,,,,
Cs,2,4384.6550,0.0014,4384.6631,0.0008,-0.0081,1800,,,,
Cs,2,4387.214,0.003,4387.2149,0.0023,-0.001,90,,,,
Cs,2,4388.779,0.004,4388.78362,0.00023,-0.005,4900,,,,
Cs,2,4395.077,0.003,4395.0794,0.0012,-0.002,76,,,,
Cs,2,4395.998,0.003,4395.9968,0.0010,0.001,120,,,,
Cs,2,4396.9138,0.0004,4396.91327,0.00025,0.0005,10000,,,,
Cs,2,4397.7734,0.0014,4397.7727,0.0008,0.0007,460,,,,
Cs,2,4399.4969,0.0003,4399.4966,0.0003,0.0003,33000,,,,
Cs,2,4405.2555,0.0003,4405.25568,0.00025,-0.0002,390000,,,,
Cs,2,4415.1947,0.0017,4415.1958,0.0020,-0.0011,91,,,,
Cs,2,4424.0557,0.0003,4424.0553,0.0004,0.0004,19000,,,,
Cs,2,4435.7001,0.0003,4435.6999,0.0003,0.0002,53000,,,,
Cs,2,4436.0867,0.0011,4436.0870,0.0003,-0.0003,970,,,,
Cs,2,4441.383,0.004,4441.3753,0.0003,0.008,30,,,,
Cs,2,4444.0044,0.0004,4444.0044,0.0003, 0.0000,8500,,,,
Cs,2,4446.840,0.002,4446.8408,0.0018,-0.001,160,,,,
Cs,2,4447.836,0.003,4447.8344,0.0005,0.002,11,,,,
Cs,2,4450.7946,0.0013,4450.7948,0.0003,-0.0002,1500,,,,
Cs,2,4453.3855,0.0017,4453.3812,0.0012,0.0043,560,,,,
Cs,2,4455.351,0.003,4455.3498,0.0014,0.001,82,,,,
Cs,2,4457.6898,0.0003,4457.6899,0.0004,-0.0001,64000,,,,
Cs,2,4458.4724,0.0013,4458.4735,0.0004,-0.0011,21,,,,
Cs,2,4459.157,0.004,4459.1560,0.0003,0.001,490,,,,
Cs,2,4473.3379,0.0017,4473.3360,0.0012,0.0019,180,,,,
Cs,2,4476.9528,0.0015,4476.9536,0.0016,-0.0008,710,,,,
Cs,2,4478.997,0.004,4478.9982,0.0018,-0.001,80,,,,
Cs,2,4488.0195,0.0020,4488.0210,0.0005,-0.0015,270,,,,
Cs,2,4489.1236,0.0016,4489.1262,0.0014,-0.0026,1200,,,,
Cs,2,4496.7498,0.0004,4496.7496,0.0003,0.0002,15000,,,,
