element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Ar,2,3416.560,0.006,3416.560,0.006, 0.000,1,,,,
Ar,2,3421.6108,0.0004,3421.61032,0.00005,0.0005,22,9.3e+06,D,,
Ar,2,3425.500,0.006,3425.49849,0.00018,0.002,2,,,,
Ar,2,3429.6138,0.0004,3429.61434,0.00005,-0.0005,20,2.2e+07,D,,
Ar,2,3430.4148,0.0003,3430.41507,0.00004,-0.0003,26,6.2e+06,B,,
Ar,2,3430.991,0.002,3430.99186,0.00005,-0.0009,5,,,,
Ar,2,3431.737,0.006,3431.73675,0.00005,0.000,2,,,,
Ar,2,3432.5838,0.0019,3432.58318,0.00005,0.0006,5,,,,
Ar,2,3433.369,0.006,3433.366,0.005,0.003,1,,,,
Ar,2,3435.773,0.006,3435.77602,0.00021,-0.003,1,,,,
Ar,2,3439.094,0.006,3439.090,0.004,0.004,1,,,,
Ar,2,3447.290,0.006,3447.29080,0.00012,-0.001,1,,,,
Ar,2,3448.281,0.006,3448.28150,0.00023, 0.000,1,,,,
Ar,2,3454.0949,0.0001,3454.09498,0.00005,-0.00008,76,3.14e+07,B,,
Ar,2,3458.688,0.006,3458.68529,0.00006,0.003,1?,,,,
Ar,1,3461.07,,3461.0783,,-0.01,7,6.7e+04,D,,
Ar,2,3464.1264,0.0002,3464.12673,0.00004,-0.00033,81bl,3.7e+07,D,,
Ar,2,3465.7830,0.0005,3465.78302,0.00009, 0.0000,14,,,,
Ar,2,3466.3330,0.0001,3466.33299,0.00008,0.00001,91,,,,
Ar,2,,,3466.36343,0.00005,,,3.0e+06,C,,
Ar,2,3470.2606,0.0006,3470.26106,0.00004,-0.0005,12,,,,
Ar,2,3471.600,0.006,3471.59630,0.00005,0.004,3,,,,
Ar,2,3476.7471,0.0001,3476.74711,0.00005,-0.00001,427,1.25e+08,B,,
Ar,2,3478.2316,0.0001,3478.23166,0.00006,-0.00006,100,,,,
Ar,2,3480.511,0.006,3480.50512,0.00005,0.006,9,,,,
Ar,2,3481.591,0.006,3481.590,0.006,0.001,1,,,,
Ar,2,3487.3155,0.0007,3487.31541,0.00004,0.0001,6,2.7e+06,D,,
Ar,2,3488.188,0.006,3488.18953,0.00020,-0.002,1,,,,
Ar,2,3490.8729,0.0002,3490.87300,0.00005,-0.00010,45,,,,
Ar,2,3491.2437,0.0001,3491.24373,0.00005,-0.00003,389,1.79e+08,B,,
Ar,2,3491.5356,0.0001,3491.53560,0.00005,0.00000,1000,2.31e+08,B,,
Ar,2,3495.775,0.006,3495.75822,0.00018,0.017,1,,,,
Ar,2,3499.4759,0.0007,3499.47590,0.00006, 0.0000,8,3.e+05,C+,,
Ar,2,3499.957,0.006,3499.96731,0.00004,-0.010,0.5,,,,
Ar,2,3509.7779,0.0001,3509.77794,0.00009,-0.00004,447,2.55e+08,B,,
Ar,2,3514.3874,0.0001,3514.38733,0.00005,0.00007,490,1.36e+08,B,,
Ar,2,3517.8897,0.0010,3517.88887,0.00007,0.0008,4,7.e+04,E,,
Ar,2,3518.93,0.04,3518.922,0.014,0.01,1wl,,,,
Ar,2,3519.9933,0.0001,3519.99331,0.00004,-0.00001,191,5.2e+07,B,,
Ar,2,3521.2600,0.0001,3521.25990,0.00005,0.00010,100,2.27e+07,B,,
Ar,2,3521.555,0.006,3521.55960,0.00004,-0.005,1,,,,
