element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Hg,2,3603.908,0.004,3603.903,0.004,0.005,1500,2.0e+06,,,
Hg,2,3604.085,0.004,3604.0843,0.0021,0.001,45000c,1.4e+07,,,
Hg,2,3605.762,0.002,3605.762,0.003,0.000,100000,3.0e+07,,,
Hg,2,3606.885,0.004,3606.8855,0.0010,-0.001,8000,5.7e+06,,,
Hg,2,3614.875,0.004,3614.8760,0.0012,-0.001,450,8.5e+05,,,
Hg,2,3632.363,0.004,3632.3594,0.0023,0.004,8000,3.5e+06,,,
Hg,2,3643.293,0.004,3643.2960,0.0020,-0.003,100h,1.2e+04,,,
Hg,2,3643.293,0.004,3643.3005,0.0020,-0.008,100h,3.4e+05,,,
Hg,1,3650.158,0.001,3650.1579,0.0009,0.0001,9000,1.29e+08,B+,,
Hg,1,3654.842,0.001,3654.8429,0.0007,-0.0009,3000,1.84e+07,B,,
Hg,1,3662.887,0.001,3662.8869,0.0008,0.0001,500,3.6e+06,C,,
Hg,1,3663.284,0.001,3663.2831,0.0007,0.0009,2000,,,,
Hg,1,3701.442,0.02,3701.448,0.016,-0.006,50,,,,
Hg,1,3702.36,0.10,3702.338,0.007,0.02,1,,,,
Hg,1,3704.1655,0.001,3704.1655,0.0010, 0.0000,9,,,,
Hg,2,3751.759,0.004,,,,100h,,,,
Hg,2,3776.141,0.003,3776.1416,0.0024,-0.001,6000h,2.6e+07,,,
Hg,2,3777.755,0.003,3777.757,0.003,-0.002,900,2.7e+06,,,
Hg,2,3789.727,0.004,3789.732,0.005,-0.005,5,7.5e+05,,,
Hg,1,3790.00,0.04,3790.01,0.03,-0.01,80,,,,
Hg,2,3797.326,0.003,3797.323,0.003,0.003,6000c,7.6e+05,,,
Hg,1,3801.6583,0.001,3801.6582,0.0010,0.0001,50,,,,
Hg,2,3806.312,0.003,3806.3154,0.0021,-0.003,50000,3.2e+07,,,
Hg,1,3815.8,0.2,3815.815,0.003,-0.01,1,,,,
Hg,1,3820.40,0.04,3820.37,0.03,0.03,50,,,,
Hg,2,3828.909,0.004,3828.9121,0.0025,-0.003,1000,1.5e+06,,,
Hg,2,3839.259,0.004,3839.255,0.003,0.004,10000,4.7e+06,,,
Hg,1,3860.85,0.04,3860.963,0.024,-0.11,30,,,,
Hg,2,3883.183,0.004,,,,200,,,,
Hg,1,3901.868,0.008,3901.870,0.005,-0.002,30,,,,
Hg,1,3903.638,0.02,3903.636,0.003,0.002,0.5,,,,
Hg,1,3906.371,0.008,3906.383,0.003,-0.012,40,,,,
Hg,2,3909.320,0.004,,,,400,,,,
Hg,2,3913.367,0.004,,,,75,,,,
Hg,2,3914.313,0.004,3914.3142,0.0025,-0.001,5000,3.7e+06,,,
Hg,2,3919.264,0.004,3919.257,0.004,0.007,500D,1.1e+07,,,
Hg,2,3940.369,0.016,3940.361,0.003,0.008,15G,1.9e+06,,,
Hg,2,3945.673,0.004,,,,30,,,,
Hg,2,3946.281,0.004,,,,75,,,,
Hg,2,3956.319,0.004,,,,60,,,,
Hg,2,3974.402,0.004,,,,500,,,,
Hg,1,3983.92,0.05,3983.96,0.03,-0.04,2,,,,
Hg,2,3983.9312,0.0003,3983.9312,0.0006,0.0000,10000000c,3.2e+06,,,
Hg,1,4025.95,0.08,4026.01,0.03,-0.06,4,,,,
Hg,2,4026.201,0.016,,,,15G,,,,
Hg,2,4040.457,0.010,4040.4621,0.0021,-0.005,4000c,9.0e+06,,,
Hg,2,4040.576,0.003,,,,500,,,,
Hg,1,4046.565,0.001,4046.5643,0.0008,0.0007,12000,2.07e+07,B,,
Hg,2,4047.740,0.004,4047.742,0.003,-0.002,50,3.0e+05,,,
