element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
He,1,5875.621,,5875.61484,0.00003,0.006,500*,7.0708e+07,AAA,,
He,1,5875.621,,5875.62510,0.00003,-0.004,500*,2.9462e+07,AAA,,
He,1,5875.621,,5875.64036,0.00003,-0.019,500*,5.3019e+07,AAA,,
He,1,,,5875.96628,0.00003,,100,3.9282e+07,AAA,,
He,2,,,6559.76872,0.00003,,,1.1504e+07,AA,,
He,2,,,6559.79395,0.00003,,,7.1341e+06,AA,,
He,2,,,6559.85440,0.00003,,,1.9121e+06,AA,,
He,2,,,6559.88733,0.00003,,,7.1354e+06,AA,,
He,2,,,6560.05227,0.00003,,,1.9232e+07,AA,,
He,2,,,6560.05274,0.00003,,,1.3805e+07,AA,,
He,2,,,6560.08318,0.00003,,,1.5078e+05,AA,,
He,2,,,6560.08387,0.00003,,,2.3008e+06,AA,,
He,2,,,6560.14160,0.00003,,,2.1195e+07,AA,,
He,2,,,6560.14176,0.00003,,,2.0606e+07,AA,,
He,2,,,6560.15708,0.00003,,,1.6354e+04,AA,,
He,2,,,6560.15732,0.00003,,,1.3737e+06,AA,,
He,2,,,6560.16955,0.00003,,,3.8255e+06,AA,,
He,2,,,6560.17657,0.00003,,,1.5085e+06,AA,,
He,2,,,6560.18478,0.00003,,,2.1979e+07,AA,,
He,2,,,6560.18820,0.00003,,,3.4351e+05,AA,,
He,2,,,6560.18823,0.00003,,,1.3572e+06,AA,,
He,2,,,6560.19412,0.00003,,,7.8497e+05,AA,,
He,2,,,6560.20960,0.00003,,,3.2712e+05,AA,,
He,1,6678.151,,6678.15174,0.00003,-0.001,100,6.3705e+07,AAA,,
He,1,,,6679.67687,0.00003,,,1.510e+04,AA,,
He,1,7065.190,,7065.17716,0.00005,0.013,200*,1.5474e+07,AAA,,
He,1,7065.190,,7065.21532,0.00005,-0.025,200*,9.2844e+06,AAA,,
He,1,7065.71,,7065.70863,0.00005,0.00,30,3.0948e+06,AAA,,
He,1,,,7160.55563,0.00005,,,9.5686e+04,AAA,,
He,1,,,7160.55907,0.00005,,,9.5686e+04,AAA,,
He,1,,,7160.55935,0.00005,,,9.5686e+04,AAA,,
